Hero Name,Power,Age,Grade,Height,Gender,Team
Spiderman,spider,28,707,5.9,male,AAA
Batman,bat,36,757,6.1,male,BBB
Ironman,suite,42,857,5.11,male,CCC
Captain America,super human,48,827,6.1,male,DDD
Hulk,super human,45,897,6.2,male,AAA
Aquaman,water,38,877,6.3,male,BBB
Dr Strange,magic,45,907,6,male,CCC
Thor,god,52,927,6.1,male,DDD
Superman,alien,55,917,6.2,male,AAA
Flash,speed,30,817,,male,BBB
Wonderman,magic,40,,5.11,female,CCC
Antman,ants,,,5.9,male,DDD
,air,38,,,,AAA
,water,36,,,,BBB
catwoman,,35,808,,female,CCC
Spiderman,spider,36,707,5.821402525,male,DDD
Batman,bat,42,757,5.808274895,male,AAA
Ironman,suite,48,857,5.795147265,male,BBB
Captain America,super human,45,827,5.782019635,male,CCC
Hulk,super human,38,897,5.768892006,male,DDD
Aquaman,water,45,877,5.755764376,male,AAA
Dr Strange,magic,52,907,5.742636746,male,BBB
Thor,god,55,927,5.729509116,male,CCC
Superman,alien,30,917,5.716381487,male,DDD
Flash,speed,40,817,5.703253857,male,AAA
Wonderman,magic,,,5.690126227,female,BBB
Antman,ants,38,,5.676998597,male,CCC
,air,36,,,,DDD
,water,35,,,,AAA
catwoman,,36,808,,female,BBB
Spiderman,spider,42,707,5.663870968,male,CCC
Batman,bat,48,757,5.650743338,male,DDD
Ironman,suite,45,857,5.637615708,male,AAA
Captain America,super human,38,827,5.624488079,male,BBB
Hulk,super human,45,897,5.611360449,male,CCC
Spiderman,spider,52,877,5.9,male,DDD
Batman,bat,55,907,6.1,male,AAA
Ironman,suite,30,927,5.11,male,BBB
Captain America,super human,40,917,6.1,male,CCC
Hulk,super human,,817,6.2,male,DDD
Aquaman,water,38,,6.3,male,AAA
Dr Strange,magic,36,,6,male,BBB
Thor,god,35,,6.1,male,CCC
Superman,alien,55,,6.2,male,DDD
Flash,speed,30,808,,male,AAA
Wonderman,magic,40,707,5.11,female,BBB
Antman,ants,,757,5.9,male,CCC
,air,38,857,,,DDD
,water,36,827,,,AAA
catwoman,,35,897,,female,BBB
Spiderman,spider,36,877,5.821402525,male,CCC
Batman,bat,42,907,5.808274895,male,DDD
Ironman,suite,48,927,5.795147265,male,AAA
Captain America,super human,45,917,5.782019635,male,BBB
